Open,High,Low,Close
260.700012,274.5,254.100006,268.899994
279,288.799988,274.899994,280
298.200012,299,280.600006,285.700012
294.5,302,287.399994,291.899994
297,300.5,273.299988,279.5
280.799988,290,263.799988,270
268,272.100006,248.800003,250
255.399994,265,245.600006,250.899994
222.100006,227,193.5,195.899994
200,200.399994,164.5,165
164.399994,169.300003,131.600006,146.100006
144.300003,167.899994,132.5,166.699997
173,176,155.699997,158.100006
164.899994,167.600006,148.5,167.600006
165.5,169.699997,155,159.899994
149.600006,166.399994,147.199997,149.600006
150.100006,183,145.300003,182.199997
173.399994,188.800003,169.199997,183
189.5,209.899994,187.800003,204.5
211.199997,222.199997,207.5,222.100006
224.399994,225,213.899994,224
228.5,233.100006,213.699997,214.800003
225.399994,229.899994,195.199997,200
197,200.899994,184.100006,190.199997
177.699997,181.399994,168.5,171
174.899994,178.800003,162.399994,169.600006
175.5,199.800003,174.100006,198.699997
195.399994,200.699997,181.800003,190.399994
215,220.699997,209.600006,218.100006
212.5,215.600006,200,202
203.5,207.600006,188.600006,193.300003
189.600006,189.600006,181.899994,186.5
198.199997,205.399994,198,203.899994
201.699997,205,188.899994,192
192.5,201.800003,189.5,192.800003
198,220,195.5,218.300003
220.5,226.5,203.199997,212.800003
212.600006,219.300003,206.800003,208.899994
201.699997,213,198,212.5
210.800003,223.5,208.100006,218.600006
215,219.100006,198,198.300003
200.699997,216.300003,198.300003,212.399994
207.100006,214.600006,196,196.899994
202.100006,221,200.600006,214.300003
218.100006,238.800003,217.300003,238.5
239.100006,252.300003,228.5,235.300003
218.699997,218.699997,207,215
206.399994,215.699997,202.5,215.5
228,234,222.800003,231.600006
237.399994,241.600006,217.5,224
227.899994,228.800003,208.800003,213.399994
206.899994,215,198.600006,215
219.600006,224.800003,209.399994,220.699997
224,229.899994,213.5,224.399994
228.199997,237.699997,226.800003,236
249,260.899994,244.800003,255.800003
263.600006,276,252.300003,253.899994
252.300003,267.299988,245.899994,258.600006
266.399994,268.5,255,258.200012
246.800003,250.699997,233.5,235.100006
238.899994,249.800003,237.399994,245.199997
241.100006,246.800003,236.899994,237.800003
238.699997,245.399994,235,239
223.100006,226.899994,216.899994,218.399994
218.5,224.800003,214,223.600006
218.100006,230.899994,212.699997,229.899994
228.699997,235.600006,224.800003,228.300003
236.5,240.699997,223.5,225.199997
230.399994,240,228,237.199997
