Date,Open,High,Low,Close,Adj Close,Volume
2009-07-16,1.769063,1.945938,1.759688,1.920313,1.556661,0
2009-07-17,1.848750,1.848750,1.735937,1.774688,1.438613,0
2009-07-20,1.828437,1.925313,1.828437,1.911562,1.549567,0
2009-07-21,1.953125,1.953125,1.806875,1.925625,1.560967,0
2009-07-22,1.869688,2.005312,1.861250,1.941563,1.573886,0
2009-07-23,1.941563,2.230313,1.941563,2.167813,1.757291,0
2009-07-24,2.126563,2.232500,2.048750,2.211875,1.793009,0
2009-07-27,2.216875,2.323437,2.160312,2.313750,1.875592,2451200
2009-07-28,2.265625,2.329062,2.203438,2.296875,1.861913,2006400
2009-07-29,2.243125,2.300937,2.163438,2.224688,1.803396,1676800
2009-07-30,2.341563,2.558438,2.320000,2.460938,1.994906,1504000
2009-07-31,2.453750,2.518437,2.375625,2.459375,1.993640,1475200
2009-08-03,2.610938,2.610938,2.465938,2.579375,2.090915,2582400
2009-08-04,2.535312,3.054688,2.483438,2.994375,2.427327,4688000
2009-08-05,3.010313,3.394375,2.935937,3.351563,2.716873,10307200
2009-08-06,3.503438,3.737500,3.270625,3.270625,2.651263,11744000
2009-08-07,3.512500,4.015625,3.359375,3.832187,3.106481,8956800
2009-08-10,3.781250,3.795625,3.439063,3.546875,2.875198,9113600
2009-08-11,3.468437,3.509063,3.125000,3.250937,2.635303,11334400
2009-08-12,3.239687,3.520313,3.223438,3.325625,2.695847,11526400
2009-08-13,3.423438,3.465312,3.240313,3.367500,2.729792,6809600
2009-08-14,3.250000,3.320625,3.035625,3.276250,2.655823,5980800
2009-08-17,2.897813,2.921562,2.698750,2.753750,2.232269,5449600
2009-08-18,2.798125,2.930000,2.729063,2.840000,2.302185,4428800
2009-08-19,2.687813,2.808750,2.641562,2.757500,2.235309,4214400
2009-08-20,2.771250,3.111250,2.757500,3.108438,2.519789,4816000
2009-08-21,3.238437,3.538125,3.185000,3.339688,2.707247,8064000
2009-08-24,3.463750,3.487813,3.263750,3.285312,2.663169,9430400
2009-08-25,3.383125,3.493125,3.298438,3.406563,2.761457,6240000
2009-08-26,3.398438,3.460938,3.305625,3.459375,2.804269,3792000
2009-08-27,3.448750,3.578125,3.233438,3.569688,2.893692,17388800
2009-08-28,3.656250,3.684062,3.460938,3.627500,2.940556,8233600
2009-08-31,3.449063,3.549062,3.365000,3.468750,2.811868,4780800
2009-09-01,3.396875,3.477813,2.907813,2.913750,2.361969,10268800
2009-09-02,2.829062,2.910938,2.742188,2.743750,2.224162,6118400
2009-09-03,2.843125,2.911250,2.688437,2.911250,2.359943,3427200
2009-09-04,2.906563,3.000000,2.740000,2.983750,2.418713,4627200
2009-09-08,3.146563,3.312500,3.077812,3.304375,2.678621,6819200
2009-09-09,3.314375,3.533750,3.228437,3.522813,2.855693,7315200
2009-09-10,3.492500,3.682188,3.350000,3.681562,2.984380,5049600
2009-09-11,3.692500,3.774375,3.510313,3.625000,2.938529,6320000
2009-09-14,3.481250,3.974688,3.481250,3.959687,3.209836,5289600
2009-09-15,4.044063,4.327813,3.810000,4.151250,3.365122,13004800
2009-09-16,4.278438,4.681250,4.222500,4.672500,3.787663,13356800
2009-09-17,4.647188,5.141562,4.390625,4.592813,3.723066,23497600
2009-09-18,4.683437,4.802813,4.375000,4.628438,3.751944,9251200
