Date,Open,High,Low,Close,Adj Close,Volume
2009-07-16,31045.000000,31315.000000,28840.000000,29440.000000,28871.763672,0
2009-07-17,31225.000000,32015.000000,31085.000000,31450.000000,30842.966797,0
2009-07-20,29590.000000,30130.000000,27925.000000,28125.000000,27582.146484,0
2009-07-21,27665.000000,30160.000000,27640.000000,28505.000000,27954.812500,0
2009-07-22,29655.000000,29655.000000,27250.000000,28220.000000,27675.308594,0
2009-07-23,28125.000000,28520.000000,24020.000000,25000.000000,24517.460938,0
2009-07-24,25505.000000,26300.000000,24235.000000,24430.000000,23958.464844,0
2009-07-27,24395.000000,24990.000000,23235.000000,23335.000000,22884.599609,100
2009-07-28,23860.000000,24360.000000,23205.000000,23510.000000,23056.222656,0
2009-07-29,24000.000000,24815.000000,23550.000000,24275.000000,23806.458984,0
2009-07-30,22980.000000,23165.000000,20530.000000,21680.000000,21261.542969,100
2009-07-31,21780.000000,22320.000000,21160.000000,21590.000000,21173.283203,0
2009-08-03,20305.000000,21550.000000,20245.000000,20485.000000,20089.609375,0
2009-08-04,20930.000000,21245.000000,16740.000000,17240.000000,16907.242188,300
2009-08-05,17215.000000,17465.000000,14965.000000,15150.000000,14857.582031,300
2009-08-06,14560.000000,15470.000000,13420.000000,15460.000000,15161.598633,600
2009-08-07,14360.000000,15110.000000,12015.000000,12940.000000,12690.239258,1600
2009-08-10,13085.000000,14205.000000,13045.000000,13845.000000,13577.772461,500
2009-08-11,14250.000000,15475.000000,14105.000000,15035.000000,14744.803711,700
2009-08-12,14950.000000,14950.000000,13740.000000,14580.000000,14298.584961,800
2009-08-13,14185.000000,14970.000000,14000.000000,14430.000000,14151.481445,700
2009-08-14,14605.000000,15825.000000,14605.000000,14845.000000,14558.469727,300
2009-08-17,16550.000000,17455.000000,16420.000000,17275.000000,16941.566406,600
2009-08-18,16840.000000,17305.000000,16035.000000,16645.000000,16323.725586,400
2009-08-19,17480.000000,17785.000000,16765.000000,17065.000000,16735.621094,500
2009-08-20,16970.000000,17040.000000,14900.000000,14910.000000,14622.215820,500
2009-08-21,14350.000000,14530.000000,12835.000000,13800.000000,13533.639648,1000
2009-08-24,13245.000000,14100.000000,13185.000000,13980.000000,13710.165039,400
2009-08-25,13580.000000,13925.000000,13120.000000,13470.000000,13210.008789,500
2009-08-26,13510.000000,13890.000000,13275.000000,13290.000000,13033.483398,400
2009-08-27,13335.000000,14125.000000,12840.000000,12925.000000,12675.529297,600
2009-08-28,12610.000000,13250.000000,12445.000000,12600.000000,12356.800781,500
2009-08-31,13255.000000,13550.000000,12900.000000,13180.000000,12925.606445,500
2009-09-01,13465.000000,15320.000000,13140.000000,15265.000000,14970.363281,800
2009-09-02,15720.000000,16190.000000,15320.000000,16185.000000,15872.605469,900
2009-09-03,15585.000000,16510.000000,15195.000000,15205.000000,14911.521484,700
2009-09-04,15230.000000,16050.000000,14730.000000,14730.000000,14445.689453,500
2009-09-08,14000.000000,14340.000000,13145.000000,13205.000000,12950.123047,900
2009-09-09,13165.000000,13485.000000,12255.000000,12345.000000,12106.723633,1100
2009-09-10,12420.000000,12945.000000,11775.000000,11780.000000,11552.628906,800
2009-09-11,11600.000000,12340.000000,11450.000000,11950.000000,11719.347656,700
2009-09-14,12300.000000,12430.000000,10805.000000,10830.000000,10620.964844,900
2009-09-15,10610.000000,11250.000000,9840.000000,10295.000000,10096.291016,1800
2009-09-16,10030.000000,10145.000000,9005.000000,9060.000000,8885.128906,1500
2009-09-17,9085.000000,9575.000000,8115.000000,9150.000000,8973.392578,2900
2009-09-18,9020.000000,9625.000000,8765.000000,9090.000000,8914.549805,1500
2009-09-21,9510.000000,9735.000000,9230.000000,9530.000000,9346.057617,1800
2009-09-22,9230.000000,9330.000000,8600.000000,8625.000000,8458.524414,1700
2009-09-23,8535.000000,9605.000000,8520.000000,9575.000000,9390.188477,2500
2009-09-24,9365.000000,10765.000000,9250.000000,10590.000000,10385.597656,4400
2009-09-25,10825.000000,11100.000000,10125.000000,10515.000000,10312.045898,3800
2009-09-28,10270.000000,10375.000000,9145.000000,9170.000000,8993.004883,3000
2009-09-29,9140.000000,9700.000000,8885.000000,9595.000000,9409.802734,2300
2009-09-30,9430.000000,10295.000000,9335.000000,9865.000000,9674.590820,4000
2009-10-01,9975.000000,11195.000000,9925.000000,11145.000000,10929.885742,3400
2009-10-02,12025.000000,12030.000000,10480.000000,11460.000000,11238.804688,3900
2009-10-05,11070.000000,11360.000000,10400.000000,10525.000000,10321.853516,2600
2009-10-06,10190.000000,11000.000000,9800.000000,10505.000000,10302.237305,3900
2009-10-07,10685.000000,11045.000000,10335.000000,10605.000000,10400.307617,2200
2009-10-08,10205.000000,10370.000000,9740.000000,10015.000000,9821.695313,3300
2009-10-09,10150.000000,10400.000000,9720.000000,9760.000000,9571.617188,2300
2009-10-12,9550.000000,9925.000000,9425.000000,9770.000000,9581.424805,1800
2009-10-13,9970.000000,10430.000000,9840.000000,10225.000000,10027.643555,2200
2009-10-14,9600.000000,9805.000000,8950.000000,9025.000000,8850.804688,3600
2009-10-15,9330.000000,9450.000000,9190.000000,9280.000000,9100.882813,2400
2009-10-16,9680.000000,10085.000000,9580.000000,9980.000000,9787.372070,2700
2009-10-19,9840.000000,9990.000000,9310.000000,9385.000000,9203.855469,3800
2009-10-20,9405.000000,10035.000000,9400.000000,9945.000000,9753.047852,3000
2009-10-21,10095.000000,10340.000000,9430.000000,10290.000000,10091.387695,4100
2009-10-22,10265.000000,10740.000000,9435.000000,9455.000000,9272.504883,5600
2009-10-23,9385.000000,9935.000000,9330.000000,9780.000000,9591.232422,4300
2009-10-26,9805.000000,9925.000000,9075.000000,9865.000000,9674.590820,6300
2009-10-27,9850.000000,10420.000000,9705.000000,10310.000000,10111.001953,4500
2009-10-28,10545.000000,11645.000000,10030.000000,11590.000000,11366.296875,4600
2009-10-29,11000.000000,11170.000000,9865.000000,10000.000000,9806.985352,5300
2009-10-30,10205.000000,11255.000000,10010.000000,10540.000000,10336.561523,7300
2009-11-02,10360.000000,11420.000000,9785.000000,10455.000000,10253.202148,7000
2009-11-03,10960.000000,10980.000000,9980.000000,9995.000000,9802.082031,4700
2009-11-04,9640.000000,10680.000000,9550.000000,10675.000000,10468.956055,4700
2009-11-05,10380.000000,10600.000000,9895.000000,9990.000000,9797.179688,4600
2009-11-06,10470.000000,10690.000000,9975.000000,10400.000000,10199.265625,4600
2009-11-09,9990.000000,10125.000000,8895.000000,8910.000000,8738.023438,7400
2009-11-10,9070.000000,9500.000000,8915.000000,9095.000000,8919.452148,6500
2009-11-11,8835.000000,8950.000000,8400.000000,8570.000000,8404.587891,5100
2009-11-12,8605.000000,8890.000000,8385.000000,8840.000000,8669.375000,5800
2009-11-13,8835.000000,8850.000000,8415.000000,8465.000000,8301.613281,5600
2009-11-16,8290.000000,8300.000000,7625.000000,7890.000000,7737.711914,7900
2009-11-17,8015.000000,8315.000000,7740.000000,8255.000000,8095.666504,5100
2009-11-18,8285.000000,8325.000000,7755.000000,7815.000000,7664.158691,4900
2009-11-19,8055.000000,8450.000000,8040.000000,8345.000000,8183.928223,6100
2009-11-20,8490.000000,8605.000000,8390.000000,8495.000000,8331.034180,3600
2009-11-23,8090.000000,8405.000000,7820.000000,8200.000000,8041.728027,3800
2009-11-24,8235.000000,8660.000000,8235.000000,8575.000000,8409.489258,3900
2009-11-25,8475.000000,8550.000000,8285.000000,8470.000000,8306.517578,3000
2009-11-27,9225.000000,9335.000000,8755.000000,9190.000000,9012.620117,3500
2009-11-30,9090.000000,9325.000000,8050.000000,8125.000000,7968.175293,8300
2009-12-01,7900.000000,8160.000000,7675.000000,7790.000000,7639.642578,6100
2009-12-02,7890.000000,7890.000000,7300.000000,7450.000000,7306.203613,5600
2009-12-03,7305.000000,7730.000000,7030.000000,7640.000000,7492.537598,8300
2009-12-04,7065.000000,7425.000000,6820.000000,6955.000000,6820.758301,8900
2009-12-07,7020.000000,7570.000000,6980.000000,7390.000000,7247.362305,8400
2009-12-08,7600.000000,7645.000000,7175.000000,7505.000000,7360.142090,5300
2009-12-09,7475.000000,7620.000000,7360.000000,7560.000000,7414.081543,3900
2009-12-10,7490.000000,7800.000000,7380.000000,7680.000000,7531.764648,3400
2009-12-11,7630.000000,7655.000000,7295.000000,7305.000000,7164.002441,4800
2009-12-14,7230.000000,7470.000000,6875.000000,6900.000000,6766.819824,4800
2009-12-15,7050.000000,7175.000000,6955.000000,7105.000000,6967.862793,6100
2009-12-16,6990.000000,7080.000000,6865.000000,6960.000000,6825.661621,4100
2009-12-17,7125.000000,7260.000000,6970.000000,7065.000000,6928.635254,4100
2009-12-18,7025.000000,7300.000000,6915.000000,6930.000000,6796.240234,3900
2009-12-21,6890.000000,6890.000000,6640.000000,6660.000000,6531.452637,3800
2009-12-22,6645.000000,6650.000000,6445.000000,6450.000000,6325.504883,3500
2009-12-23,6400.000000,6430.000000,6015.000000,6205.000000,6085.233887,4700
2009-12-24,6110.000000,6140.000000,5950.000000,5980.000000,5864.576660,3000
2009-12-28,5910.000000,5950.000000,5685.000000,5870.000000,5756.700684,6100
2009-12-29,5810.000000,6135.000000,5760.000000,6110.000000,5992.067871,4200
2009-12-30,6190.000000,6295.000000,6085.000000,6090.000000,5972.453613,4000
2009-12-31,6015.000000,6440.000000,5915.000000,6400.000000,6276.470215,4000
2010-01-04,6200.000000,6640.000000,6125.000000,6535.000000,6408.864746,6300
2010-01-05,6530.000000,6760.000000,6485.000000,6500.000000,6374.540527,4500
2010-01-06,6480.000000,6600.000000,6355.000000,6540.000000,6413.768066,3100
2010-01-07,6540.000000,6750.000000,6250.000000,6315.000000,6193.111328,5300
2010-01-08,6365.000000,6635.000000,6350.000000,6465.000000,6340.215332,3400
2010-01-11,6335.000000,6465.000000,6260.000000,6345.000000,6222.532715,2100
2010-01-12,6535.000000,6765.000000,6390.000000,6655.000000,6526.548828,4500
2010-01-13,6645.000000,6650.000000,6230.000000,6275.000000,6153.883301,4700
2010-01-14,6280.000000,6425.000000,6235.000000,6295.000000,6173.497559,2400
2010-01-15,6345.000000,6515.000000,6310.000000,6450.000000,6325.504883,4700
2010-01-19,6485.000000,6515.000000,5980.000000,6010.000000,5893.998047,4600
2010-01-20,6195.000000,6400.000000,6170.000000,6230.000000,6109.751953,4200
2010-01-21,6260.000000,6795.000000,6110.000000,6760.000000,6629.521973,8000
2010-01-22,6850.000000,7330.000000,6615.000000,7235.000000,7095.353516,7100
2010-01-25,7020.000000,7530.000000,6990.000000,7125.000000,6987.477051,4100
2010-01-26,7325.000000,7360.000000,6990.000000,7310.000000,7168.906738,5000
2010-01-27,7200.000000,7640.000000,7075.000000,7090.000000,6953.152344,7600
2010-01-28,6985.000000,7505.000000,6940.000000,7320.000000,7178.713379,5300
2010-01-29,7160.000000,7570.000000,6965.000000,7425.000000,7281.686035,5400
2010-02-01,7245.000000,7295.000000,6985.000000,7015.000000,6879.600098,3700
2010-02-02,6950.000000,7195.000000,6630.000000,6710.000000,6580.487793,5300
2010-02-03,6825.000000,7160.000000,6805.000000,7035.000000,6899.214844,3600
2010-02-04,7260.000000,7830.000000,7205.000000,7800.000000,7649.447754,7400
2010-02-05,7745.000000,8095.000000,7285.000000,7360.000000,7217.940918,7900
2010-02-08,7295.000000,7925.000000,7235.000000,7905.000000,7752.421875,3200
2010-02-09,7575.000000,8125.000000,7500.000000,7940.000000,7786.746094,6600
2010-02-10,7915.000000,8360.000000,7605.000000,7895.000000,7742.614746,5900
2010-02-11,7970.000000,8200.000000,7670.000000,7675.000000,7526.860840,4100
2010-02-12,7970.000000,8035.000000,7430.000000,7440.000000,7296.397461,4900
2010-02-16,7170.000000,7220.000000,6750.000000,6805.000000,6673.653809,5700
2010-02-17,6750.000000,6750.000000,6510.000000,6585.000000,6457.900391,4100
2010-02-18,6690.000000,6725.000000,6250.000000,6335.000000,6212.725098,5500
2010-02-19,6375.000000,6455.000000,6180.000000,6290.000000,6168.593262,4200
2010-02-22,6250.000000,6325.000000,6110.000000,6205.000000,6085.233887,2900
2010-02-23,6295.000000,6410.000000,6175.000000,6360.000000,6237.243164,3900
2010-02-24,6350.000000,6370.000000,6170.000000,6175.000000,6055.812988,3200
2010-02-25,6390.000000,6485.000000,6065.000000,6100.000000,5982.261230,4000
2010-02-26,6070.000000,6190.000000,5910.000000,6095.000000,5977.357910,4100
2010-03-01,6005.000000,6065.000000,5880.000000,5960.000000,5844.963379,2300
2010-03-02,5890.000000,5995.000000,5850.000000,5935.000000,5820.445313,2500
2010-03-03,5930.000000,6015.000000,5865.000000,6000.000000,5884.190918,2800
2010-03-04,6000.000000,6000.000000,5860.000000,5900.000000,5786.121582,3300
2010-03-05,5815.000000,5850.000000,5365.000000,5415.000000,5310.482422,6500
2010-03-08,5425.000000,5425.000000,5175.000000,5215.000000,5114.343750,5200
2010-03-09,5275.000000,5330.000000,4955.000000,5160.000000,5060.404297,6200
