Date,Open,High,Low,Close,Adj Close,Volume
2015-12-03,152.720001,163.199997,150.000000,163.199997,160.982468,200
2015-12-04,179.679993,179.679993,179.520004,179.520004,177.080719,200
2015-12-07,220.759995,239.259995,220.759995,238.039993,234.805557,1200
2015-12-08,260.000000,269.679993,227.039993,230.151993,227.024719,3000
2015-12-09,218.880005,236.679993,203.000000,226.960007,223.876114,900
2015-12-10,215.279999,219.240005,215.279999,219.240005,216.261002,1100
2015-12-11,237.559998,262.679993,237.559998,262.679993,259.110748,4200
2015-12-14,268.320007,300.000000,268.320007,297.000000,292.964386,4400
2015-12-15,305.880005,305.880005,272.799988,274.880005,271.144958,2100
2015-12-16,280.440002,298.320007,274.679993,295.600006,291.583435,3300
2015-12-17,296.000000,329.880005,296.000000,316.359985,312.061340,2200
2015-12-18,320.011993,323.239990,296.000000,323.239990,318.847870,600
2015-12-21,332.000000,348.839996,328.040009,328.799988,324.332336,1800
2015-12-22,328.720001,340.359985,319.519989,328.000000,323.543213,700
2015-12-23,287.679993,293.140015,213.440002,213.720001,210.815994,4300
2015-12-24,206.871994,223.440002,205.759995,212.028000,209.146988,1400
2015-12-28,222.800003,243.195999,222.800003,242.479996,239.185226,1100
2015-12-29,238.000000,245.199997,210.000000,230.671997,227.537643,1500
2015-12-30,248.000000,256.000000,233.839996,256.000000,252.521500,800
2015-12-31,256.600006,256.600006,214.179993,214.179993,211.269760,1600
2016-01-04,217.119995,226.639999,200.559998,211.240005,208.369705,2700
2016-01-05,216.800003,223.600006,214.960007,217.080002,214.130341,2400
2016-01-06,241.399994,274.040009,241.399994,274.040009,270.316406,2900
2016-01-07,294.959991,307.239990,276.000000,307.200012,303.025818,4700
2016-01-08,321.959991,322.000000,259.799988,281.600006,277.773621,1900
2016-01-11,284.640015,344.000000,284.640015,336.563995,331.990814,1300
2016-01-12,320.000000,408.000000,320.000000,383.223999,378.016846,3800
2016-01-13,373.119995,412.600006,340.000000,396.839996,391.447845,1300
2016-01-14,400.000000,428.200012,360.000000,360.000000,355.108368,4500
2016-01-15,400.640015,440.000000,400.200012,400.200012,394.762146,3000
2016-01-19,411.000000,511.119995,408.200012,507.600006,500.702789,4400
2016-01-20,557.239990,635.799988,424.436005,434.959991,429.049866,7500
2016-01-21,434.959991,447.079987,305.559998,313.899994,309.634766,6100
2016-01-22,265.920013,280.000000,240.000000,260.000000,256.467102,5500
2016-01-25,288.000000,360.000000,264.119995,350.575989,345.812408,8000
2016-01-26,332.000000,379.959991,216.000000,223.759995,220.719589,15400
2016-01-27,234.000000,237.800003,187.432007,215.591995,212.662567,14600
2016-01-28,168.000000,205.679993,167.360001,186.800003,184.261795,9300
