Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,32432.000000,32992.000000,32432.000000,32992.000000,30666.591797,0
2013-10-04,34600.000000,37016.000000,34600.000000,35600.000000,33090.773438,0
2013-10-07,37736.000000,38048.000000,35504.000000,36016.000000,33477.441406,0
2013-10-08,35480.000000,40592.000000,35480.000000,40128.000000,37299.617188,0
2013-10-09,42896.000000,44056.000000,41304.000000,41784.000000,38838.890625,0
2013-10-10,43296.000000,43512.000000,40672.000000,43296.000000,40244.324219,0
2013-10-11,46040.000000,48336.000000,45824.000000,48336.000000,44929.085938,0
2013-10-14,45016.000000,47824.000000,45016.000000,47824.000000,44453.167969,0
2013-10-15,48520.000000,48520.000000,43600.000000,43736.000000,40653.308594,0
2013-10-16,44312.000000,46640.000000,44208.000000,45936.000000,42698.242188,0
2013-10-17,38832.000000,38992.000000,35656.000000,37536.000000,34890.316406,0
2013-10-18,38352.000000,39656.000000,37368.000000,39144.000000,36384.972656,0
2013-10-21,37104.000000,37200.000000,34640.000000,34640.000000,32198.433594,0
2013-10-22,31824.000000,32312.000000,28064.000000,28296.000000,26301.582031,0
2013-10-23,29496.000000,30656.000000,28896.000000,30648.000000,28487.804688,0
2013-10-24,28704.000000,28704.000000,26176.000000,26680.000000,24799.486328,0
2013-10-25,27624.000000,27856.000000,26136.000000,26240.000000,24390.500000,0
2013-10-28,26888.000000,27000.000000,25528.000000,26704.000000,24821.791016,0
2013-10-29,27480.000000,30360.000000,27064.000000,30240.000000,28108.562500,0
2013-10-30,28816.000000,32840.000000,27400.000000,29568.000000,27483.925781,0
2013-10-31,32056.000000,34080.000000,31952.000000,34000.000000,31603.542969,0
2013-11-01,35168.000000,37640.000000,35040.000000,37328.000000,34696.972656,0
2013-11-04,36280.000000,37232.000000,34592.000000,34632.000000,32190.996094,0
2013-11-05,35464.000000,37200.000000,35464.000000,36240.000000,33685.660156,0
2013-11-06,35096.000000,35472.000000,34320.000000,34848.000000,32391.767578,0
2013-11-07,37048.000000,38984.000000,36280.000000,38808.000000,36072.656250,0
2013-11-08,40600.000000,43136.000000,37632.000000,38056.000000,35373.660156,0
2013-11-11,40320.000000,40432.000000,38288.000000,38288.000000,35589.308594,0
2013-11-12,39472.000000,41832.000000,37720.000000,41360.000000,38444.781250,0
2013-11-13,40712.000000,41000.000000,39680.000000,39808.000000,37002.175781,0
2013-11-14,38000.000000,38528.000000,35352.000000,36368.000000,33804.636719,0
2013-11-15,36704.000000,37848.000000,36256.000000,37848.000000,35180.320313,0
2013-11-18,39128.000000,40384.000000,38752.000000,39776.000000,36972.429688,0
2013-11-19,39728.000000,40824.000000,39392.000000,40744.000000,37872.199219,0
2013-11-20,43232.000000,47640.000000,41592.000000,46528.000000,43248.523438,0
2013-11-21,48120.000000,50648.000000,46960.000000,47496.000000,44148.289063,0
2013-11-22,47032.000000,50272.000000,45600.000000,49856.000000,46341.949219,0
2013-11-25,53448.000000,54912.000000,50000.000000,51320.000000,47702.753906,0
2013-11-26,53696.000000,55032.000000,52696.000000,54568.000000,50721.824219,0
2013-11-27,53200.000000,55912.000000,53056.000000,55440.000000,51532.363281,0
2013-11-29,53784.000000,53784.000000,48008.000000,48800.000000,45360.382813,0
2013-12-02,52752.000000,60408.000000,52752.000000,60000.000000,55770.957031,0
2013-12-03,61792.000000,67560.000000,59056.000000,65912.000000,61266.253906,0
2013-12-04,63568.000000,67144.000000,57240.000000,59384.000000,55198.375000,0
2013-12-05,64272.000000,65696.000000,61176.000000,65272.000000,60671.367188,0
2013-12-06,63488.000000,67448.000000,61344.000000,66808.000000,62099.097656,0
2013-12-09,62616.000000,65640.000000,61608.000000,62616.000000,58202.570313,0
2013-12-10,53616.000000,54848.000000,51912.000000,54592.000000,50744.132813,0
2013-12-11,54184.000000,58688.000000,54184.000000,58680.000000,54543.996094,0
2013-12-12,62824.000000,65176.000000,59632.000000,60264.000000,56016.351563,0
2013-12-13,57656.000000,58432.000000,56248.000000,57752.000000,53681.402344,0
