Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,39500.000000,39820.000000,39470.000000,39490.000000,37749.738281,0
2013-10-04,37000.000000,37000.000000,34300.000000,35330.000000,33773.062500,0
2013-10-07,33990.000000,36260.000000,33060.000000,35200.000000,33648.792969,0
2013-10-08,35020.000000,35540.000000,31130.000000,31130.000000,29758.150391,0
2013-10-09,30900.000000,30900.000000,28080.000000,29750.000000,28438.962891,0
2013-10-10,29520.000000,30610.000000,28580.000000,28800.000000,27530.828125,0
2013-10-11,27800.000000,27800.000000,25790.000000,26070.000000,24921.134766,0
2013-10-14,27060.000000,27310.000000,25800.000000,26290.000000,25131.441406,0
2013-10-15,25860.000000,28000.000000,25750.000000,28000.000000,26766.083984,0
2013-10-16,27190.000000,27850.000000,26090.000000,26750.000000,25571.167969,0
2013-10-17,30450.000000,32650.000000,30190.000000,31440.000000,30054.490234,0
2013-10-18,31000.000000,32130.000000,29770.000000,30080.000000,28754.421875,0
2013-10-21,31000.000000,33740.000000,31000.000000,33360.000000,31889.876953,0
2013-10-22,36470.000000,40210.000000,36420.000000,39790.000000,38036.519531,100
2013-10-23,38940.000000,39230.000000,36500.000000,36500.000000,34891.503906,0
2013-10-24,39240.000000,41740.000000,38410.000000,40820.000000,39021.128906,0
2013-10-25,39590.000000,42190.000000,38910.000000,41680.000000,39843.226563,100
2013-10-28,41600.000000,42980.000000,40500.000000,40800.000000,39002.011719,0
2013-10-29,39830.000000,40500.000000,35560.000000,35700.000000,34126.757813,0
2013-10-30,37860.000000,38920.000000,32220.000000,36120.000000,34528.250000,100
2013-10-31,32350.000000,33760.000000,30520.000000,30910.000000,29547.843750,100
2013-11-01,29920.000000,30270.000000,27510.000000,28020.000000,26785.201172,100
2013-11-04,28540.000000,29690.000000,27700.000000,29600.000000,28295.572266,0
2013-11-05,29420.000000,29420.000000,27500.000000,28260.000000,27014.625000,0
2013-11-06,29520.000000,29750.000000,29010.000000,29280.000000,27989.675781,0
2013-11-07,27620.000000,28030.000000,25850.000000,26230.000000,25074.085938,100
2013-11-08,24950.000000,26860.000000,23080.000000,26550.000000,25379.984375,100
2013-11-11,25860.000000,26560.000000,24450.000000,26440.000000,25274.830078,0
2013-11-12,25600.000000,26610.000000,23800.000000,24400.000000,23324.730469,100
2013-11-13,24800.000000,25680.000000,24690.000000,25140.000000,24032.119141,0
2013-11-14,26730.000000,27900.000000,26110.000000,27390.000000,26182.966797,100
2013-11-15,28000.000000,28000.000000,26240.000000,26330.000000,25169.677734,0
2013-11-18,25250.000000,25900.000000,24220.000000,24980.000000,23879.169922,0
2013-11-19,24840.000000,25210.000000,24090.000000,24250.000000,23181.339844,0
2013-11-20,22990.000000,24000.000000,20320.000000,20850.000000,19931.173828,100
2013-11-21,20610.000000,20720.000000,19010.000000,20410.000000,19510.564453,100
2013-11-22,20630.000000,21330.000000,19150.000000,19200.000000,18353.886719,100
2013-11-25,18380.000000,19440.000000,17360.000000,18680.000000,17856.798828,100
2013-11-26,18390.000000,18420.000000,17450.000000,17560.000000,16786.158203,0
2013-11-27,18080.000000,18180.000000,17200.000000,17340.000000,16575.855469,100
2013-11-29,18140.000000,19640.000000,18000.000000,19450.000000,18592.869141,0
2013-12-02,17540.000000,17740.000000,15010.000000,15350.000000,14673.547852,100
2013-12-03,14810.000000,15300.000000,13590.000000,13590.000000,12991.110352,200
2013-12-04,14290.000000,15500.000000,13490.000000,14950.000000,14291.176758,200
2013-12-05,13600.000000,14480.000000,13360.000000,13410.000000,12819.041992,100
2013-12-06,14000.000000,14520.000000,13100.000000,13150.000000,12570.500977,100
2013-12-09,13960.000000,14150.000000,13350.000000,13960.000000,13344.804688,100
2013-12-10,15790.000000,16380.000000,15650.000000,15820.000000,15122.836914,200
2013-12-11,15970.000000,15970.000000,14400.000000,14650.000000,14004.396484,100
2013-12-12,13110.000000,14400.000000,12970.000000,14400.000000,13765.414063,100
2013-12-13,14790.000000,15170.000000,14330.000000,14910.000000,14252.940430,100
2013-12-16,15080.000000,16180.000000,14530.000000,15290.000000,14616.193359,100
2013-12-17,14850.000000,15420.000000,14240.000000,14420.000000,13784.533203,100
2013-12-18,14690.000000,16120.000000,13900.000000,13950.000000,13335.244141,200
2013-12-19,13360.000000,13570.000000,12860.000000,13050.000000,12474.908203,100
2013-12-20,13250.000000,13550.000000,13010.000000,13430.000000,12838.160156,100
2013-12-23,13300.000000,13550.000000,12800.000000,12880.000000,12312.398438,100
2013-12-24,13060.000000,14290.000000,12930.000000,14120.000000,13497.753906,100
2013-12-26,14840.000000,15100.000000,14010.000000,14230.000000,13602.906250,100
2013-12-27,14530.000000,15240.000000,14310.000000,15240.000000,14568.396484,100
