Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,420.000000,420.000000,406.399994,406.399994,397.828766,0
2015-05-29,385.000000,385.000000,385.000000,385.000000,376.880127,0
2015-06-01,390.000000,390.000000,380.000000,389.100006,380.893646,100
2015-06-02,392.399994,392.399994,386.000000,386.000000,377.859039,100
2015-06-03,377.100006,377.700012,377.100006,377.700012,369.734100,100
2015-06-04,387.500000,387.500000,387.100006,387.100006,378.935852,0
2015-06-05,380.700012,380.700012,363.700012,366.000000,358.280823,400
2015-06-08,365.500000,372.500000,356.899994,364.799988,357.106140,800
2015-06-09,375.000000,390.500000,375.000000,381.600006,373.551849,1400
2015-06-10,383.299988,387.500000,371.500000,375.100006,367.188965,900
2015-06-11,370.000000,374.750000,364.100006,364.100006,356.420898,300
2015-06-12,374.700012,384.000000,374.500000,380.000000,371.985565,1100
2015-06-15,390.200012,400.000000,377.299988,380.399994,372.377136,600
2015-06-16,382.000000,382.000000,367.000000,369.000000,361.217560,1000
2015-06-17,367.980011,367.980011,355.200012,359.100006,351.526398,6300
2015-06-18,350.500000,350.500000,324.000000,329.399994,322.452728,7300
2015-06-19,328.500000,336.200012,323.399994,323.700012,316.873016,4200
2015-06-22,312.109985,316.600006,295.190002,295.700012,289.463531,6500
2015-06-23,291.600006,306.600006,289.100006,297.899994,291.617096,6500
2015-06-24,297.799988,319.600006,296.399994,316.100006,309.433258,12200
2015-06-25,308.820007,333.899994,307.500000,323.600006,316.775085,12600
2015-06-26,323.600006,346.700012,316.000000,330.000000,323.040100,8100
2015-06-29,344.529999,363.779999,333.600006,363.600006,355.931458,13600
2015-06-30,337.500000,345.000000,311.799988,314.899994,308.258575,23100
2015-07-01,302.799988,334.100006,300.609985,326.779999,319.888062,10400
2015-07-02,319.500000,340.500000,306.700012,334.799988,327.738892,6900
2015-07-06,351.500000,351.500000,311.899994,321.000000,314.229919,6100
2015-07-07,320.299988,345.500000,317.200012,317.399994,310.705811,14100
2015-07-08,331.200012,354.200012,327.200012,353.600006,346.142365,7000
2015-07-09,333.100006,346.600006,326.000000,329.899994,322.942200,3900
2015-07-10,323.399994,327.700012,306.899994,307.500000,301.014648,5300
2015-07-13,298.899994,299.399994,280.500000,284.799988,278.793396,11200
2015-07-14,284.299988,286.000000,263.000000,264.799988,259.215210,13700
2015-07-15,258.500000,270.000000,248.679993,266.899994,261.270874,22400
2015-07-16,258.399994,263.679993,249.800003,251.600006,246.293610,12400
2015-07-17,250.000000,259.500000,246.399994,246.600006,241.399063,16600
2015-07-20,240.500000,254.000000,240.000000,247.000000,241.790619,13400
2015-07-21,247.500000,268.799988,247.500000,258.600006,253.145981,23700
2015-07-22,275.000000,278.000000,253.800003,255.800003,250.405014,12800
2015-07-23,254.199997,264.299988,247.300003,263.200012,257.648987,15800
2015-07-24,271.799988,293.000000,260.700012,291.700012,285.547913,26300
2015-07-27,299.600006,317.000000,298.100006,303.700012,297.294830,23300
2015-07-28,291.299988,309.799988,274.899994,279.500000,273.605133,20700
2015-07-29,268.799988,305.100006,268.799988,296.700012,290.442413,24900
2015-07-30,300.200012,321.299988,293.799988,299.399994,293.085510,21200
2015-07-31,300.570007,303.299988,276.399994,288.600006,282.513245,18100
2015-08-03,287.700012,298.079987,275.100006,288.899994,282.806915,24600
2015-08-04,286.899994,292.700012,280.000000,289.100006,283.002716,14300
2015-08-05,276.299988,288.200012,273.600006,284.700012,278.695496,16400
2015-08-06,285.700012,334.299988,285.700012,328.399994,321.473846,32500
2015-08-07,329.899994,375.940002,329.899994,352.700012,345.261353,55100
2015-08-10,335.500000,348.399994,325.299988,342.899994,335.668030,23900
2015-08-11,360.000000,379.899994,332.000000,367.299988,359.553467,26200
2015-08-12,381.130005,407.500000,349.200012,354.600006,347.121277,34900
2015-08-13,350.299988,378.200012,340.200012,378.200012,370.223541,12300
2015-08-14,376.000000,410.200012,369.299988,389.100006,380.893646,18900
2015-08-17,403.299988,406.100006,342.000000,344.600006,337.332153,20500
2015-08-18,351.200012,368.000000,344.399994,367.500000,359.749176,18000
2015-08-19,379.899994,397.799988,367.500000,380.600006,372.572968,23600
2015-08-20,400.000000,445.200012,383.799988,444.299988,434.929443,49000
2015-08-21,476.899994,487.500000,402.399994,443.100006,433.754791,74500
