Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,9.637500,9.907500,9.637500,9.907500,9.310124,246800
2010-03-12,9.915000,9.980000,9.662500,9.662500,9.079898,303200
2010-03-15,9.467500,9.570000,9.212500,9.357500,8.793288,35600
2010-03-16,9.475000,10.127500,9.460000,10.117500,9.507465,84000
2010-03-17,10.500000,10.605000,10.292500,10.482500,9.850455,174000
2010-03-18,10.482500,10.512500,10.082500,10.227500,9.610831,105600
2010-03-19,10.100000,10.105000,9.595000,9.762500,9.173870,106400
2010-03-22,9.570000,10.505000,9.515000,10.467500,9.836361,253600
2010-03-23,10.615000,11.182500,10.610000,11.142500,10.470662,407600
2010-03-24,11.035000,11.035000,10.470000,10.525000,9.890393,135600
2010-03-25,10.980000,11.137500,10.462500,10.472500,9.841059,135600
2010-03-26,10.752500,10.807500,10.102500,10.307500,9.686007,154800
2010-03-29,10.640000,10.705000,10.510000,10.585000,9.946775,92000
2010-03-30,10.750000,10.900000,10.472500,10.787500,10.137066,128000
2010-03-31,10.870000,10.950000,10.562500,10.620000,9.979666,72000
2010-04-01,10.917500,11.357500,10.477500,10.655000,10.012554,109600
2010-04-05,11.060000,11.600000,10.352500,11.557500,10.860639,100000
2010-04-06,11.337500,11.545000,11.207500,11.382500,10.696189,133200
2010-04-07,11.442500,11.732500,11.127500,11.495000,10.801908,227600
2010-04-08,11.287500,11.287500,10.720000,11.087500,10.418978,298000
2010-04-09,11.215000,11.387500,10.960000,11.382500,10.696189,83600
2010-04-12,11.555000,11.962500,11.417500,11.667500,10.964006,160000
2010-04-13,11.732500,11.950000,11.582500,11.892500,11.175441,193600
2010-04-14,12.630000,13.465000,12.630000,13.422500,12.613189,433600
2010-04-15,13.662500,13.847500,13.385000,13.537500,12.721258,844400
2010-04-16,13.375000,13.375000,12.427500,13.037500,12.251402,296800
2010-04-19,12.600000,12.982500,11.877500,12.597500,11.837931,380800
2010-04-20,12.965000,13.300000,12.875000,13.207500,12.411153,194800
2010-04-21,13.300000,13.592500,12.210000,12.795000,12.023522,384800
2010-04-22,12.545000,13.560000,11.960000,13.517500,12.702459,439600
2010-04-23,13.740000,13.740000,13.030000,13.577500,12.758843,240000
2010-04-26,13.700000,14.070000,13.602500,13.697500,12.871606,256400
2010-04-27,13.125000,13.597500,12.240000,12.280000,11.539576,340800
2010-04-28,12.530000,13.187500,11.902500,12.525000,11.769804,457600
2010-04-29,12.530000,13.000000,12.382500,12.955000,12.173877,389200
2010-04-30,12.625000,12.625000,11.180000,11.207500,10.531742,673600
2010-05-03,11.365000,12.210000,11.365000,12.032500,11.307000,328400
2010-05-04,11.782500,11.782500,9.920000,10.440000,9.810518,1277600
2010-05-05,10.275000,10.587500,9.622500,10.105000,9.495717,528000
2010-05-06,10.000000,10.435000,6.250000,9.245000,8.687572,1163200
2010-05-07,9.000000,9.272500,7.715000,8.682500,8.158987,824800
2010-05-10,10.200000,10.240000,9.702500,10.200000,9.584990,480400
2010-05-11,9.655000,10.537500,9.532500,10.005000,9.401749,1848000
2010-05-12,10.170000,10.870000,10.170000,10.817500,10.165257,2822000
